r_type,t_type,years_experience_mean,degree_mean,nr_commits_mean,nr_languages_mean,nr_stars_mean,causes_mean,non-causes_mean,years_experience_std,degree_std,nr_commits_std,nr_languages_std,nr_stars_std,causes_std,non-causes_std,gamma
individualized,counterfactual,0.0,0.0,980.14,0.0,0.006666666666666667,0.0,980.1466666666666,0.0,0.0,28.564212311912268,0.0,0.007637626158259732,0.0,28.55668281389374,0.75
individualized,counterfactual,0.0,0.0,1146.0049999999999,0.015000000000000001,0.7683333333333334,0.0,1146.7883333333332,0.0,0.0,272.9692065508488,0.01802775637731995,1.3005992208721844,0.0,274.2545688467802,0.85
individualized,counterfactual,0.0,0.0,1031.75,-0.19499999999999998,0.02,0.0,1031.575,0.0,0.0,161.12567866420298,0.3729276069158732,0.026457513110645908,0.0,160.78058309385494,0.9
individualized,counterfactual,0.0,0.0,1240.8687269681743,0.0016750418760469012,0.12382747068676718,0.0,1240.994229480737,0.0,0.0,412.52700525698197,0.0029012576341187223,0.15415429473590392,0.0,412.46488310597476,0.9
individualized,counterfactual,0.0,0.0,1203.0852931323282,0.0,0.5107788944723618,0.0,1203.5960720268006,0.0,0.0,359.5587251692807,0.0,0.8290406218594562,0.0,360.38621634360237,0.9499999999999998
individualized,counterfactual,0.0,0.0,1358.6578475711892,0.016666666666666666,0.4792797319932998,0.0,1359.1537939698492,0.0,0.0,303.21496676770266,0.014433756729740645,0.4269450596929251,0.0,303.6274485107737,0.9499999999999998
individualized,improvement,0.5733333333333334,1.3433333333333335,,,,1.9166666666666667,0.0,0.07973915809270457,0.04645786621588783,,,,0.03329164059239702,0.0,0.75
individualized,improvement,0.5816666666666667,1.37,,,,1.9516666666666669,0.0,0.04509249752822893,0.102591422643416,,,,0.057518113089124766,0.0,0.75
individualized,improvement,0.5233333333333333,1.345,,,,1.8683333333333334,0.0,0.0652559065015063,0.03499999999999992,,,,0.05346338310781809,0.0,0.85
individualized,improvement,0.6216666666666667,1.5,,,,2.1216666666666666,0.0,0.09827681991870378,0.09367496997597595,,,,0.0797391580927044,0.0,0.9
individualized,improvement,0.7133333333333333,1.3966666666666665,,,,2.11,0.0,0.11094292827095079,0.15542951242712338,,,,0.051961524227066236,0.0,0.9
individualized,improvement,0.6766666666666667,1.6150000000000002,,,,2.2916666666666665,0.0,0.05923118547972286,0.03278719262150998,,,,0.03055050463303896,0.0,0.9499999999999998
individualized,improvement,0.62,1.6500000000000001,,,,2.27,0.0,0.02291287847477922,0.04821825380496484,,,,0.037749172176353825,0.0,0.9499999999999998
subpopulation,improvement,0.5583333333333332,1.3916666666666666,,,,1.95,0.0,0.029297326385411538,0.020816659994661344,,,,0.008660254037844458,0.0,0.75
subpopulation,improvement,0.6216666666666667,1.2750000000000001,,,,1.8966666666666665,0.0,0.06291528696058958,0.09165151389911676,,,,0.0765397500213668,0.0,0.75
subpopulation,improvement,0.5558375209380234,1.3908626465661642,,,,1.9467001675041875,0.0,0.0467858244470589,0.11000329513067274,,,,0.06356655476354098,0.0,0.85
subpopulation,improvement,0.6366666666666667,1.49,,,,2.126666666666667,0.0,0.09504384952922165,0.08760707733967618,,,,0.09305016568138573,0.0,0.9
subpopulation,improvement,0.7026094276094277,1.3943602693602692,,,,2.096969696969697,0.0,0.08415787871297462,0.07476201628504635,,,,0.04530505721623585,0.0,0.9
subpopulation,improvement,0.5791876046901172,1.5859798994974874,,,,2.1651675041876044,0.0,0.05818416488913194,0.030047971796371382,,,,0.06739748405078391,0.0,0.9499999999999998
subpopulation,improvement,0.6333333333333333,1.545,,,,2.1783333333333332,0.0,0.05392896562454477,0.09124143795447322,,,,0.0911500594258353,0.0,0.9499999999999998
